family,display_name,case_type,image_path,y_true,y_prob,foreground_focus_share,border_focus_share,orig_image,gradcam_image,occlusion_image
cnn,cnn,true_positive,D:\Dineth\focus_binary_benchmark\dataset\wbc\focused\32\32_6.jpg,1,0.9999859929084778,0.958871603012085,0.49743494391441345,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\true_positive_32_6_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\true_positive_32_6_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\true_positive_32_6_occlusion.png
cnn,cnn,true_negative,D:\Dineth\focus_binary_benchmark\dataset\wbc\unfocused\76\76_9.jpg,0,2.8221210257584065e-08,0.9076007604598999,0.7672463059425354,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\true_negative_76_9_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\true_negative_76_9_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\true_negative_76_9_occlusion.png
cnn,cnn,high_confidence_false_positive,D:\Dineth\focus_binary_benchmark\dataset\tbf_imgs\unfocused\FieldPos002 (3)\FieldPos002 (3)_page_6.png,0,0.9820740222930908,1.0,0.4353834390640259,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\high_confidence_false_positive_FieldPos002 (3)_page_6_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\high_confidence_false_positive_FieldPos002 (3)_page_6_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\high_confidence_false_positive_FieldPos002 (3)_page_6_occlusion.png
cnn,cnn,high_confidence_false_negative,D:\Dineth\focus_binary_benchmark\dataset\tbf_imgs\focused\FieldPos082\FieldPos082_page_6.png,1,0.0011161236325278,1.0,0.42910996079444885,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\high_confidence_false_negative_FieldPos082_page_6_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\high_confidence_false_negative_FieldPos082_page_6_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn\high_confidence_false_negative_FieldPos082_page_6_occlusion.png
cnn_attention,cnn_attention,true_positive,D:\Dineth\focus_binary_benchmark\dataset\tbf_imgs\focused\FieldPos002 (3)\FieldPos002 (3)_page_8.png,1,0.9998989701271056,1.0,0.4775201380252838,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\true_positive_FieldPos002 (3)_page_8_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\true_positive_FieldPos002 (3)_page_8_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\true_positive_FieldPos002 (3)_page_8_occlusion.png
cnn_attention,cnn_attention,true_negative,D:\Dineth\focus_binary_benchmark\dataset\wbc\unfocused\49\49_0.jpg,0,1.099493329093093e-05,0.960059642791748,0.6497812271118164,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\true_negative_49_0_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\true_negative_49_0_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\true_negative_49_0_occlusion.png
cnn_attention,cnn_attention,high_confidence_false_positive,D:\Dineth\focus_binary_benchmark\dataset\tbf_imgs\unfocused\FieldPos002 (3)\FieldPos002 (3)_page_6.png,0,0.9802259206771852,1.0,0.4118613004684448,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\high_confidence_false_positive_FieldPos002 (3)_page_6_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\high_confidence_false_positive_FieldPos002 (3)_page_6_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\high_confidence_false_positive_FieldPos002 (3)_page_6_occlusion.png
cnn_attention,cnn_attention,high_confidence_false_negative,D:\Dineth\focus_binary_benchmark\dataset\tbf_imgs\focused\FieldPos082\FieldPos082_page_6.png,1,0.4177584052085876,1.0,0.44266337156295776,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\high_confidence_false_negative_FieldPos082_page_6_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\high_confidence_false_negative_FieldPos082_page_6_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\cnn_attention\high_confidence_false_negative_FieldPos082_page_6_occlusion.png
transfer,transfer:MobileNet,true_positive,D:\Dineth\focus_binary_benchmark\dataset\TBSI\focused\LH5\LH5 (4).JPG,1,0.9977320432662964,1.0,0.39662066102027893,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\true_positive_LH5 (4)_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\true_positive_LH5 (4)_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\true_positive_LH5 (4)_occlusion.png
transfer,transfer:MobileNet,true_negative,D:\Dineth\focus_binary_benchmark\dataset\tbf_imgs\unfocused\FieldPos000 (4)\FieldPos000 (4)_page_14.png,0,0.0001019307965179,0.0,0.0,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\true_negative_FieldPos000 (4)_page_14_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\true_negative_FieldPos000 (4)_page_14_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\true_negative_FieldPos000 (4)_page_14_occlusion.png
transfer,transfer:MobileNet,high_confidence_false_positive,D:\Dineth\focus_binary_benchmark\dataset\tbf_imgs\unfocused\FieldPos019 (2)\FieldPos019 (2)_page_4.png,0,0.9622067213058472,0.0,0.0,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\high_confidence_false_positive_FieldPos019 (2)_page_4_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\high_confidence_false_positive_FieldPos019 (2)_page_4_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\high_confidence_false_positive_FieldPos019 (2)_page_4_occlusion.png
transfer,transfer:MobileNet,high_confidence_false_negative,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_2\pos002_2_page_2.png,1,0.0240744818001985,0.0,0.0,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\high_confidence_false_negative_pos002_2_page_2_orig.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\high_confidence_false_negative_pos002_2_page_2_gradcam.png,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\priority2_explainability\transfer\high_confidence_false_negative_pos002_2_page_2_occlusion.png
