dataset,image_path,label,stack_id,patient_id,source,split
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_0\pos000_0_page_8.png,1,pos000_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_1\pos000_1_page_8.png,1,pos000_1,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_2\pos000_2_page_8.png,1,pos000_2,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_0\pos001_0_page_8.png,1,pos001_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_1\pos001_1_page_2.png,1,pos001_1,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_2\pos001_2_page_4.png,1,pos001_2,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_0\pos002_0_page_2.png,1,pos002_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_1\pos002_1_page_2.png,1,pos002_1,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_3\pos002_3_page_5.png,1,pos002_3,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_0\pos003_0_page_4.png,1,pos003_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_0\pos004_0_page_2.png,1,pos004_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_1\pos004_1_page_10.png,1,pos004_1,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_2\pos004_2_page_11.png,1,pos004_2,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_0\pos005_0_page_10.png,1,pos005_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_1\pos005_1_page_10.png,1,pos005_1,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_3\pos005_3_page_10.png,1,pos005_3,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_0\pos006_0_page_10.png,1,pos006_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_2\pos006_2_page_10.png,1,pos006_2,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_3\pos006_3_page_10.png,1,pos006_3,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_0\pos007_0_page_8.png,1,pos007_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_2\pos007_2_page_10.png,1,pos007_2,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_0\pos008_0_page_4.png,1,pos008_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_1\pos008_1_page_4.png,1,pos008_1,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_2\pos008_2_page_6.png,1,pos008_2,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_3\pos008_3_page_6.png,1,pos008_3,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos009_0\pos009_0_page_4.png,1,pos009_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos009_1\pos009_1_page_4.png,1,pos009_1,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_1.png,0,pos000_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_10.png,0,pos000_0,,dataset,train
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\unfocused\pos000_0\pos000_0_page_11.png,0,pos000_0,,dataset,train
